20050504_11_ATF3_LPS_E-120.CEL	ATF3-null_LPS_in-vitro_0120___BMDM_Mouse
20050504_12_ATF3_LPS_E-240.CEL	ATF3-null_LPS_in-vitro_0240___BMDM_Mouse
20050505_05_PAM3_PIC-120.CEL	Bl6_PAM3+Poly-IC_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20050505_06_PAM3_PIC-60.CEL	Bl6_PAM3+Poly-IC_in-vitro_0060_in-vitro_0060_BMDM_Mouse
20050505_07_PAM3_PIC-20.CEL	Bl6_PAM3+Poly-IC_in-vitro_0020_in-vitro_0020_BMDM_Mouse
20050505_08_PAM3_PIC-0.CEL	Bl6_Unstimulated_in-vitro_0000___BMDM_Mouse
20050505_09_C57_LPS_B_240.CEL	Bl6_LPS_in-vitro_0240___BMDM_Mouse
20050518_01_ATF3_E_CPG_60min.CEL	ATF3-null_CpG_in-vitro_0060___BMDM_Mouse
20050518_02_ATF3_E_CPG_120min.CEL	ATF3-null_CpG_in-vitro_0120___BMDM_Mouse
20050518_03_ATF3_E_CPG_240min.CEL	ATF3-null_CpG_in-vitro_0240___BMDM_Mouse
20050518_04_ATF3_C_PIC_60min.CEL	ATF3-null_Poly-IC_in-vitro_0060___BMDM_Mouse
20050518_05_ATF3_C_PIC_120min.CEL	ATF3-null_Poly-IC_in-vitro_0120___BMDM_Mouse
20050518_06_ATF3_C_PIC_240min.CEL	ATF3-null_Poly-IC_in-vitro_0240___BMDM_Mouse
20050526_02_C57_A_LPS-360.CEL	Bl6_LPS_in-vitro_0360___BMDM_Mouse
20050526_03_C57_A_LPS-1080.CEL	Bl6_LPS_in-vitro_1080___BMDM_Mouse
20050526_04_C57_B_LPS-360.CEL	Bl6_LPS_in-vitro_0360___BMDM_Mouse
20050526_05_C57_B_LPS-1080.CEL	Bl6_LPS_in-vitro_1080___BMDM_Mouse
20050526_06_ATF3_E_PAM2-60.CEL	ATF3-null_PAM2_in-vitro_0060___BMDM_Mouse
20050526_07_ATF3_E_PAM2-120.CEL	ATF3-null_PAM2_in-vitro_0120___BMDM_Mouse
20050526_08_ATF3_E_PAM2-240.CEL	ATF3-null_PAM2_in-vitro_0240___BMDM_Mouse
20050622_09_LPS_A1_8_hr.CEL	Bl6_LPS_in-vitro_0480___BMDM_Mouse
20050622_10_LPS_A1_24_hr.CEL	Bl6_LPS_in-vitro_1440___BMDM_Mouse
20050622_11_LPS_B1_8_hr.CEL	Bl6_LPS_in-vitro_0480___BMDM_Mouse
20050622_12_LPS_B1_24_hr.CEL	Bl6_LPS_in-vitro_1440___BMDM_Mouse
20050623_01_LPS_C1_8hr.CEL	Bl6_LPS_in-vitro_0480___BMDM_Mouse
20050623_02_ATF3_B_240min.CEL	ATF3-null_LPS_in-vitro_0240___BMDM_Mouse
20050623_03_C57_LPS_C_240min.CEL	Bl6_LPS_in-vitro_0240___BMDM_Mouse
20050623_04_LPS_C2_24hr.CEL	Bl6_LPS_in-vitro_1440___BMDM_Mouse
20050627_09_LPS2_LPS-0.CEL	Trif-null-(LPS2)_LPS_in-vitro_0060___BMDM_Mouse
